129;119;Exmo USD;USD Exmo;840;2;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
130;120;Exmo RUB;RUB Exmo;643;2;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000100000000000000000000000000100000000000000000000000000000000000000000000
131;2;Bitcoin LN (BTC);BTC;1050;0;1000100100111111110111010001111000000010000110001001111000011010000000000000001100000000000000000000000000000000000000000000000101010111011111111111110000000000000001010000000000000000000100001000000000000000000000000000000000000011100000000
132;144;РНКБ RUB;RUB РНКБ;643;3;1011111110111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011100000111000011000000000001101000100100010111010000111111111111111111101110001000001011101111101100000000000000000010000000000000000000000000
133;40;Waves (WAVES);WAVES;1029;0;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111011100010000001111010000000000101010111111111111111111111111111111111111101111111111101111111111111111111110111011011111100000100000011110111101
134;47;Komodo (KMD);KMD;1034;0;1011111110111111111111011001111011111111111111101111111111111111110101000011001101010101000101000000000000000000010010000000000101010111111111111111110100001000000001010000000010000000000000001010000010000000000000100000000000000011100001000
135;50;Ontology (ONT);ONT;1003;0;1011111110111111111111111111111011111111111111101111111111111111111111100011111111011111010111000010100010000001111011000000000101010111111111111111110100001011111111111101010110000000100111111101110111000001000011111100000000000011100001000
136;103;Neteller EUR;EUR Neteller;978;1;1000100100111000110110010000010000001110100000001001000000000000000000000011001100000101000101110000000000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
137;6;Bitcoin SV (BSV);BSV;1046;0;1011111110111111111111111111111011111111101111101111111111111111111111100011111111011111110111000011100000000001001010000000000101000100111111111111111111111111111111111101110001000001011111111111100000000000000010010000000000000011100000000
138;16;Polygon (MATIC);MATIC;1014;0;1111111111111111111111111111111011111111111111101111111111111111111111100011111111011111111111111011100010100001011011000000000101111111111111111111111111111111111111111101111111111101111111111111111111110111011010111100000100000011110111101
139;8;Ethereum (ETH);ETH;1045;0;1111111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111111111010100101111011000010000101111111111111111111111111111111111111111111111111111101111111111111111111110111011011111111101100000011110111101
140;17;Dash (DASH);DASH;1044;0;1111111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111011111010100101111011000010000101111111111111111111111111111111111111111101111111111101111111111111111111110111011011111100000100000011110111101
141;233;Наличные EUR;EUR Наличными;978;5;1000100100011111111111111101111001101111101101001111111111100010110100000010000000000101000101000000000110000001000000000000000000000000000000000000000000000000000000010100000000000000000000010000000000000000000000000000000000000000000000000
142;89;Advanced Cash UAH;UAH AdvCash;980;1;1011110111111111111111111111111011101111111111011001111111111101010111100011111101010111011111000011100000100000001100000010000101010110111111111111111111111101111111110100010000000001000101111010000000000000000000011100000000000000000000000
143;131;Альфа cash-in USD;USD Альфа cash-in;840;3;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
144;69;Cronos (CRO);CRO;1000;0;1011111111111111111111111111111011111111101111101111111111111111111111100011111111011111111111000010100000000001001010000000000101000101111110111111110111111111111111111100000000000000010111111111100000000000000010010000000100000011100000000
145;99;Capitalist USD;USD Capitalist;840;1;1011111111111111111111111111111011111111101111111111111111111111111111100011111111011111111111111111100010100001011000100010000101000100111111111111111111111111111111111101111111111101111111111111111111110111011011111100000000000011110111101
146;175;Visa/MasterCard GBP;GBP Карта;826;3;1000100100011011000110011000010000101110000010000000111101010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
147;136;Тинькофф QR RUB;RUB ТКС QR;643;3;1010101110111111111111111001110011111111111011001111011111100001100000000000000000000111000111000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000
148;117;Криптобиржи USD;USD Trade;840;1;1001111101111111110000010001111111111111111101111111111111110111111110000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
